Title;Abstract;Authors;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Link;Author Keywords;Index Keywords;Publisher
A Study of Software Testing Practices in Sri Lankan Software Companies;Software testing is a knowledge intensive and a collaborative activity, which mainly depends on knowledge and experience of the software testers. This study presents using an empirical investigation carried out in Sri Lankan software companies about the current status of software testing practices. The study focused on mainly testing methodologies and techniques, automated tools, testing metrics, testing training and academic collaboration with software industry. As reported from this study, Agile methodology became very popular in software companies for software development. As an overall analysis, there was a great interest in using tools such as Selenium for testing activities. Findings of this study emphasized that while software testing practices were considered to be important, training, money and resources were inadequate to address an effective management of software testing knowledge in these three software companies. Findings also presented a compelling evidence of the soundness for the need of knowledge management practices to manage software testing knowledge, © 2018 IEEE.;Vasanthapriyan S.;2018;Proceedings - 2018 IEEE 18th International Conference on Software Quality, Reliability, and Security Companion, QRS-C 2018;;;8431994;339;344;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052497779&doi=10.1109%2fQRS-C.2018.00066&partnerID=40&md5=005f87cd6797fdcbadaa4f92929c6cd0;"Software testing; Software testing knowledge; Testing practices";"C (programming language); Computer software selection and evaluation; Knowledge management; Software design; Software reliability; Agile Methodologies; Collaborative activities; Effective management; Empirical investigation; Knowledge and experience; Knowledge intensives; Knowledge management practices; Testing knowledge; Software testing";Institute of Electrical and Electronics Engineers Inc.
Extending WebDriver: A cloud approach;Functional testing of web and mobile applications consists on impersonating a user through some kind of GUI automation technology, being Selenium the most popular solution nowadays. This piece of research progresses in this area by proposing an advanced User Impersonation as a Service (UIaaS) based on cloud technologies. The proposed approach can be seen as a layered service, in which the top tier is a platform called ElasTest, a Software as a Service (SaaS) testing tool aimed to ease end-to-end testing of different kind of applications. The capability to impersonate user provided by ElasTest is built on the top of a Platform as a Service (PaaS) implemented by extending the W3C WebDriver recommendation with advance features to assess web and mobile applications. Finally, an Infrastructure as a Service (IaaS) layer is used as ground technology. This infrastructure has been implemented by leveraging open source lightweight container technologies such as Docker and Kubernetes. © 2018 IEEE.;Garcia B., Gallego M., Santos C., Jimenez E., Leal K., Fernanez L.;2018;Proceedings - 2018 International Conference on the Quality of Information and Communications Technology, QUATIC 2018;;;8590182;143;146;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061321044&doi=10.1109%2fQUATIC.2018.00029&partnerID=40&md5=b8b832a9180c764d6c6860464ca1f60f;"Infrastructure as a Service; Platform as a Service; Software as a Service; Software testing; WebDriver";"Application programs; Mobile computing; Open source software; Platform as a Service (PaaS); Software as a service (SaaS); Software testing; Web services; Automation technology; Cloud technologies; End to end; Functional testing; Mobile applications; Open sources; Testing tools; WebDriver; Infrastructure as a service (IaaS)";Institute of Electrical and Electronics Engineers Inc.
An Approach of Automated Testing on Web Based Platform Using Machine Learning and Selenium;Testing is performed to detect or discover the errors and defects of a system. In automated testing, what test cases tester shown only will tested. It will not test new link or new thing but here what we are trying anything is new it can understand from previous experience and try to apply experience to get new results. This approach can be achieved by a three-layer structure: Web scraper, Machine Learning (ML) and Selenium. Web page would be tested and it would be trained to a system from a human perceptive in such a way that the system able to understand what are the test cases that need to be followed for each and every element on the web page and system next time on wards will do sanity and smoke test based on those inputs intelligently going to those elements on the website. System learns what actions to be done for a particular web element like button. The outputs that are able to get it is even classified the kind of output, for example, is error page or is the page is not intended. This approach helps the larger business organization to align themselves more with a creative task in testing rather than doing the human repeated activity. © 2018 IEEE.;Paul N., Tommy R.;2018;Proceedings of the International Conference on Inventive Research in Computing Applications, ICIRCA 2018;;;8597297;851;856;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061509533&doi=10.1109%2fICIRCA.2018.8597297&partnerID=40&md5=aaaa73e3e74ab673dfa34a2da07a8387;"Automated Testing; Machine Learning; Selenium Web Driver; Test Case; Web Applications";"Automation; E-learning; Learning systems; Machine learning; Selenium; Smoke; Testing; Automated testing; Business organizations; New results; Smoke test; Test case; Three-layer structures; WEB application; Web based platform; Websites";Institute of Electrical and Electronics Engineers Inc.
X-Brot: Prototyping of compatibility testing tool for web application based on document analysis technology;Web application development requires visual compatibility testing (VCT), which verifies if a web page is normally displayed on different types of browsers. In common development procedures, VCT is carried out manually. To reduce cost, VCT automation is one of the most important issues in the field of software development. Although a web page is a kind of electronic document, there have not been many papers focusing on VCT issues in the document analysis and recognition (DAR) field. We have developed a prototype tool to support web application testing. The tool offers two tests: a functional compatibility test (FCT) and a VCT. The FCT examines whether the same action (such as click, browse, or text edit) on a web page causes a compatible action on each browser, and the VCT examines whether the same page displays a similar view on each browser. To detect visual incompatibilities, our tool first extracts the document object model (DOM) structure of a target web page by parsing HTML and obtaining properties of each DOM element from the browsers using the Selenium WebDriver tool [1]. The tool compares the relative position of the DOM elements on the web page and their contents. Our tool detects the differences in relative position of each DOM element and creates cliques of those whose relative positions are qualified as equal. The cliques show distortions in the document layout. Additionally, our tool identifies text images of each DOM element and compares the results between the browsers by looking for garbled characters. In fifteen URLs and four web browsers, we obtained 96% recall and 68% precision for text comparison, and 96% recall and 61% precision for detecting layout incompatibilities. A small pilot study shows that operation time of a web application testing task was reduced by almost 35% using our tool. This study indicates that our tool is effective in reducing the development cost of web applications. © 2019 IEEE.;Tanaka H.;2019;2019 International Conference on Document Analysis and Recognition Workshops, ICDARW 2019;2019-January;;;18;21;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114887222&doi=10.1109%2fICDARW.2019.60126&partnerID=40&md5=09bccd67dbb14269808ab8b9d17c5910;"Character recognition; Clique; DOM; HTML; Relative position; Selenium; Web browser; WebDriver";"Cost reduction; Software design; Software prototyping; Websites; XML; Compatibility test; Development costs; Document analysis; Document object model; Electronic document; Relative positions; Web application development; Web application testing; Web browsers";Institute of Electrical and Electronics Engineers Inc.
Recommending correct locator for broken test scripts using various clues in web application;Test automation tools such as Selenium are commonly used for automating end-to-end tests, but when developers update the software, they often need to modify the test scripts accordingly. However, the costs of modifying these test scripts are a big obstacle to test automation because of the scripts' fragility. In particular, locators in test scripts are prone to change. Some prior methods tried to repair broken locators by using structural clues, but these approaches usually cannot handle radical changes to page layouts. In this paper, we propose a novel approach called COLOR (correct locator recommender) to support repairing broken locators in accordance with software updates. COLOR uses various properties as clues obtained from screens (i.e., attributes, texts, images, and positions). We examined which properties are reliable for recommending locators by examining changes between two release versions of software, and the reliability is adopted as the weight of a property. Our experimental results obtained from four open source web applications show that COLOR can present the correct locator in rst place with a 77%-93% accuracy and is more robust against page layout changes than structure-based approaches. © 2019 Japan Society for Software Science and Technology. All rights reserved.;Kirinuki H., Tanno H., Natsukawa K.;2019;Computer Software;36;4;;3;17;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077326544&doi=10.11309%2fjssst.36.4_3&partnerID=40&md5=3e0a607e0bd4adf145b48f14ab531cf7;;"Color; Open source software; Repair; Software reliability; Testing; End-to-end tests; Open sources; Page layouts; Software updates; Structure-based; Test Automation; Test automation tool; WEB application; Software testing";Japan Society for Software Science and Technology
Recent trends in software testing - A case study with google calendar;In this paper we make an overview of the software testing trends and as a case study we perform testing of the Google Calendar service. We present some of the latest testing techniques, frameworks and tools used for commercial software. Finally, we perform black-box automated testing of the Google Calendar component by applying several different testing technologies and frameworks. We use JUnit, Selenium and Mockito frameworks to create 22 tests to perform interface and functionality testing. Copyright © 2019 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).;Popov B., Koteska B., Mishev A.;2019;CEUR Workshop Proceedings;2508;;11;;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076489065&partnerID=40&md5=dfb5b4492c5f8c8f362109f9df72d819;;"Application programs; Computer software selection and evaluation; Quality control; Testing; Automated testing; Black boxes; Commercial software; Recent trends; Testing technique; Testing technology; Black-box testing";CEUR-WS
Generating test data for blackbox testing from UML-based web engineering content and presentation models;Software testing is a process that produces and consumes huge amounts of data. Thus, the test data is usually either gathered manually by the testers or randomly generated by tools. The manual method consumes lot of time and highly depends on the testers’ experience while the random approach faces the problem of redundant test data caused by identical use cases. By leveraging the concept of Model-based testing, this paper provides a novel method of testing to save the cost of manual testing and to increase the reliability of the testing processes. In Model-based testing, test cases and test data can be derived from different models. In this paper, we present a technique to generate test data from UML-based Web Engineering (UWE) presentation model for web application testing by using formal specification and Z3 SMT solver. We also build a model-based testing Eclipse Plug-in tool called TESTGER-UWE that generates test data based on the model of UWE for the web application. We evaluate the proposed methods by applying them to generate test data for an Address Book project of UWE. Experimental results show that our proposed methods can reduce the time significantly when generating test data for automation test tools such as Selenium, Katalon, Unit test, etc. © 2019, ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering.;Huynh Q.-T., Tran D.-D., Nguyen D.-M., Ha N.-H., Bui T.-M.-A., Nguyen P.-L.;2019;Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST;293;;;207;219;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072900096&doi=10.1007%2f978-3-030-30149-1_17&partnerID=40&md5=d571336222e75af869534b7c947da258;"Model-based testing; Test case generation; UML-based Web Engineering; Web application testing";"Intelligent systems; Model checking; Testing; Automation tests; Model based testing; Presentation model; Redundant tests; Test case generation; Testing process; Web application testing; Web engineering; Black-box testing";Springer Verlag
jFAT: An automation framework for web application testing;Web technologies have developed rapidly because web application is currently leading the trends of software development. A web-based application is a program that is accessed over a network connection, rather than existing within a device’s memory, hence detecting its failures is different from other software systems. Many approaches and tools have been proposed for web testing, however, introducing new frameworks is still an emerging topic in this field. This paper proposes an automation framework running in Java platform for web testing, called jFAT, which integrates with Selenium and TestNG. The paper also illustrates the use of framework with the Bank application case study. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2019.;Nguyen H.P., Le H.A., Truong N.T.;2019;Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST;266;;;48;57;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059686934&doi=10.1007%2f978-3-030-06152-4_5&partnerID=40&md5=6326cf6d30c0e277a4414b264bf7c1e5;"Automation testing; POM; Web applications";"Automation; Software design; User interfaces; Automation testing; Emerging topics; Network connection; Software systems; WEB application; Web application testing; Web technologies; Web-based applications; Application programs";Springer Verlag
Automated testcase generation and prioritization using GA and FRBS;"Software Quality Assurance (SQA) is a process in which the quality of software is assured by adequate software testing techniques that mainly comprise of verification and validation of the software. Software testing is the process of assessing the features of a software item and evaluating it to detect differences between given input and expected output. This process is done during the development process just prior to deployment. The SQA process is usually a manual process due to the diverse and versatile nature of the software products. That means a technique devised to test one type of software may not work that efficiently while testing another kind of software etc. Moreover, it is a time consuming process; according to a survey it consumes almost half of the total development cost and around two third of the total development time. To address the above-mentioned issues, in this research an intelligent toolkit for automated SQA is proposed and compared them with the existing famous tools like Selenium. This research focuses on automated test case/test data generation and prioritization of test cases. For this purpose, Genetic Algorithm is investigated for automatic test case generation and a fuzzy based system is proposed for test case prioritization. © Springer Nature Singapore Pte Ltd. 2019.";Azam M., Atta-ur-Rahman, Sultan K., Dash S., Khan S.N., Khan M.A.A.;2019;Communications in Computer and Information Science;955;;;571;584;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059031933&doi=10.1007%2f978-981-13-3140-4_52&partnerID=40&md5=faefc6a73261dfb3c0b4fce852cea73c;"Automated testing; FRBS; GA; SQA; Testcase generation; Testcase prioritization";"Automation; Computer software selection and evaluation; Gallium; Genetic algorithms; Quality assurance; Surveys; Verification; Automated test-case generations; Automated testing; Automatic test-case generations; FRBS; Prioritization; Software testing techniques; Test case generation; Verification-and-validation; Software testing";Springer Verlag
Optimizing regression test suite reduction;Software reliability is one of the essential features in the system quality. The purpose of the regression testing is to establish quality of the modified software before the software deployment. The main issue in this regression model is how to select a subset of test cases from the large test suite in the modified software version. Conventional regression subset selection models have addressed this issue on a small set of test suites or limited test cases. In this paper, we have studied the background work of different hybrid regression models and its limitations on the standard test suite. For different software applications, the proposed methodology is applied to find various combinations of faults randomly injected into various combinations of code lines as specified. We use selenium builder to test the software applications and run it in junit eclipse IDE to find faults. The tested output is interpreted with java randomly induced faults, and the system of methodology is evaluated in terms of APFD and APFD box plot. © Springer Nature Singapore Pte Ltd. 2019.;Sivaji U., Shraban A., Varalaxmi V., Ashok M., Laxmi L.;2019;Advances in Intelligent Systems and Computing;815;;;187;192;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057139929&doi=10.1007%2f978-981-13-1580-0_18&partnerID=40&md5=8c2d8da043511d645aaaadb5b63837f5;"API programming; Graph models; Regression models; Static suites; Test cases";"Application programming interfaces (API); Application programs; Artificial intelligence; Regression analysis; Software reliability; Testing; Essential features; Graph model; Regression model; Regression testing; Software applications; Software deployment; Static suites; Test case; Software testing";Springer Verlag
High speed script execution for GUI Automation using Computer Vision;Software testing by using open source tool like Selenium windows applications cannot be automated, citrix based applications, flash websites and games. Computer vision based automation tools can be used to automate these kinds of applications. These automation tools works based on screenshots of GUI objects like button, radio button, text box, images, dropdowns etc. In this paper a prototype of automation tool has been developed which can execute the automation scripts much faster than existing tools like Sikuli, which takes much time to run the Automation scripts. The execution time can be reduced by using this proposed tool. Copyright © 2019 Institute of Advanced Engineering and Science.;Narayana M., Raghu Ram Reddy N., Hyndavi Reddy N.;2019;International Journal of Electrical and Computer Engineering;9;1;;231;236;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072608440&doi=10.11591%2fijece.v9i1.pp231-236&partnerID=40&md5=e8712b9f479df1fd0e50b32e2b01016d;Automation Computer vision GUI;;Institute of Advanced Engineering and Science
COLOR: Correct Locator Recommender for Broken Test Scripts using Various Clues in Web Application;Test automation tools such as Selenium are commonly used for automating end-To-end tests, but when developers update the software, they often need to modify the test scripts accordingly. However, the costs of modifying these test scripts are a big obstacle to test automation because of the scripts' fragility. In particular, locators in test scripts are prone to change. Some prior methods tried to repair broken locators by using structural clues, but these approaches usually cannot handle radical changes to page layouts. In this paper, we propose a novel approach called COLOR (correct locator recommender) to support repairing broken locators in accordance with software updates. COLOR uses various properties as clues obtained from screens (i.e., attributes, texts, images, and positions). We examined which properties are reliable for recommending locators by examining changes between two release versions of software, and the reliability is adopted as the weight of a property. Our experimental results obtained from four open source web applications show that COLOR can present the correct locator in first place with a 77%-93% accuracy and is more robust against page layout changes than structure-based approaches. © 2019 IEEE.;Kirinuki H., Tanno H., Natsukawa K.;2019;SANER 2019 - Proceedings of the 2019 IEEE 26th International Conference on Software Analysis, Evolution, and Reengineering;;;8667976;310;320;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064182518&doi=10.1109%2fSANER.2019.8667976&partnerID=40&md5=5f450dfb8e5503f83ab7d7636affed8b;"locator; selenium; software test automation; test script";"Automation; Color; Open source software; Reengineering; Repair; Selenium; Software reliability; Testing; End-to-end tests; locator; Software test automation; Software updates; Structure-based; Test Automation; Test automation tool; Test scripts; Software testing";Institute of Electrical and Electronics Engineers Inc.
Deep Learning of Web Page Verification Code-taking Project for Implementation of Remedial Instruction-Technology-Base Test Website as an Example;This study using Python integrates tools such as Selenium, Pillow and WebDriver for Chrome, automatically logs in to the web page-Project for implementation of remedial instruction-technology-based test website to capture graphic verification code image, and uploads to Google Cloud Vision API which provide pre-trained models. The deep learning model recognizes the content and reads the text in the picture. The result is more than 80% recognition rate successfully login to the website. © 2019 IEEE.;Chen Y.-C., Chiang M.-H., Cheng Y.-M., Lou S.-J.;2019;2019 IEEE International Conference on Consumer Electronics - Taiwan, ICCE-TW 2019;;;8991900;;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080114015&doi=10.1109%2fICCE-TW46550.2019.8991900&partnerID=40&md5=aac330aa073dd3db9dc584257cb6c84d;;"Character recognition; Websites; Learning models; Technology-based; Deep learning";Institute of Electrical and Electronics Engineers Inc.
Wait wait. No, tell me. Analyzing selenium configuration effects on test flakiness;Flaky tests are a source of frustration and uncertainty for developers. In an educational environment, flaky tests can create doubts related to software behavior and student grades, especially when the grades depend on tests passing. NC State University's junior-level software engineering course models industrial practice through team-based development and testing of new features on a large electronic health record (EHR) system, iTrust2. Students are expected to maintain and supplement an extensive suite of UI tests using Selenium WebDriver. Team builds are run on the course's continuous integration (CI) infrastructure. Students report, and we confirm, that tests that pass on one build will inexplicably fail on the next, impacting productivity and confidence in code quality and the CI system. The goal of this work is to find and fix the sources of flaky tests in iTrust2. We analyze configurations of Selenium using different underlying web browsers and timeout strategies (waits) for both test stability and runtime performance. We also consider underlying hardware and operating systems. Our results show that HtmlUnit with Thread waits provides the lowest number of test failures and best runtime on poor-performing hardware. When given more resources (e.g., more memory and a faster CPU), Google Chrome with Angular waits is less flaky and faster than HtmlUnit, especially if the browser instance is not restarted between tests. The outcomes of this research are a more stable and substantially faster teaching application and a recommendation on how to configure Selenium for applications similar to iTrust2 that run in a CI environment. © 2019 IEEE;Presler-Marshall K., Horton E., Heckman S., Stolee K.T.;2019;Proceedings - 2019 IEEE/ACM 14th International Workshop on Automation of Software Test, AST 2019;;;8821891;7;13;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072896022&doi=10.1109%2fAST.2019.000-1&partnerID=40&md5=21938f499990a4d256497472c830ab57;"Flaky Tests; GUI Tests; Selenium; Software Testing; WebDriver";"Curricula; Selenium; Students; Web browsers; Continuous integrations; Development and testing; Educational environment; Electronic Health Record(EHR) System; Run-time performance; Software engineering course; Teaching applications; WebDriver; Software testing";Institute of Electrical and Electronics Engineers Inc.
Improving the testing efficiency of SELENIUM-based load tests;Web applications must be load tested to analyze their behavior under various load conditions. Typically, these load tests are automated using protocol-level HTTP requests (e.g., using JMETER). However, there are several disadvantages to using protocol-level requests for load tests. For example, protocol-level requests are only partially representative of the true usage of a web application, as the web application is not actually executed in a browser. It can be difficult to abstract complex behavior, such as a login sequence, into requests without executing the application. Browser-based load testing can be used as an alternative to protocol-level requests. Using a browser-based testing framework, such as SELENIUM, tests can be executed more realistically - inside a browser. Unfortunately, because a browser instance must be started to conduct a test, browser-based testing has a high performance overhead which limits its applicability for load tests. In this paper, we propose an approach for reducing the performance overhead of running SELENIUM-based load tests. Our approach shares browser instances between test user instances, thereby reducing the performance overhead that is introduced by launching many browser instances during the execution of a test. Our experimental results show that our approach can significantly increase the number of user instances that can be tested on a test machine without overloading the load driver. Our approach and the experiences that we share in this paper can help software practitioners improve the efficiency of their own SELENIUM-based load tests. © 2019 IEEE;Shariff S.M., Li H., Bezemer C.-P., Hassan A.E., Nguyen T.H.D., Flora P.;2019;Proceedings - 2019 IEEE/ACM 14th International Workshop on Automation of Software Test, AST 2019;;;8821989;14;20;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072882925&doi=10.1109%2fAST.2019.00008&partnerID=40&md5=cadfdda5b6426ff1230f28d7c668ee4e;;"Automation; Cost reduction; Efficiency; HTTP; Hypertext systems; Selenium; Testing; Load condition; Protocol level; Software practitioners; Test machine; Testing efficiency; Testing framework; WEB application; Software testing";Institute of Electrical and Electronics Engineers Inc.
Clustering of web application and testing of asynchronous communication;In model-based testing, testing is done using Input Output Transition System (IOTS) or Finite State Machine (FSM). In synchronous testing, it is easy to know the proper sequence of input output of the system under testing, whereas, in asynchronous communication, it is tough to trace the sequences of inputs and outputs. A web application is an example of asynchronous processing, in which input/ output queue management is a common issue for testing in asynchronous JavaScript and XML user interfaces. This article discusses asynchronous testing of web application by taking a Gmail account as a case study. In this article, the web application is partitioned into clusters by determining logical web pages that implement logical functions. The clusters of page objects are represented using finite state machines. From the FSMs, test scenarios are generated. The size of the test cases covering longer paths is decreased by making clusters of states. The authors conduct a queue analysis using a test architecture to investigate the behavior of the system under testing. Finally, the test cases are generated using the Selenium tool. Copyright © 2019, IGI Global. Copying or distributing in print or electronic forms without written permission of IGI Global is prohibited.;Pradhan S., Ray M., Patnaik S.;2019;International Journal of Ambient Computing and Intelligence;10;3;;33;59;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073898118&doi=10.4018%2fIJACI.2019070103&partnerID=40&md5=9b18c6a3d21a09ba89bd4dad20459341;"AJAX; Asynchronous Testing; FIFO; Input Output Transition System; Modelling Web Application; Non-FIFO Channel";"Model checking; Websites; AJAX; FIFO; FIFO channels; Input-output transition systems; WEB application; User interfaces";IGI Global
Automatic Network Application System Based on Selenium;This paper adopts the principle and operation methods of the automated testing tool Selenium and designs a web system which can automatically fill in the application website for studying abroad. This system adopts the B/S structure. When the Excel file which contains the personal information is Uploaded to this system, the back-end will convert the Excel file into JSON format data. Then, uses Selenium to login the university's application website, and uses the positioning methods of the webpage elements provided by Selenium to put the data from JSON into the Corresponding web form, thus automatically completes the application. © 2019 IEEE.;You X., Wang Y.;2019;2019 IEEE 2nd International Conference on Computer and Communication Engineering Technology, CCET 2019;;;8989411;149;153;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080067202&doi=10.1109%2fCCET48361.2019.8989411&partnerID=40&md5=843df55eb5a37a3b656ea61e9d74f513;"Application for studying abroad; Flask; Selenium; Xpath";"Websites; Automated testing tools; Automatic networks; B/S structure; Flask; Operation methods; Personal information; Positioning methods; Xpath; Selenium";Institute of Electrical and Electronics Engineers Inc.
Estimating Return on Investment for GUI Test Automation Frameworks;Automated graphical user interface (GUI) tests can reduce manual testing activities and increase test frequency. This motivates the conversion of manual test cases into automated GUI tests. However, it is not clear whether such automation is cost-effective given that GUI automation scripts add to the code base and demand maintenance as a system evolves. In this paper, we introduce a method for estimating maintenance cost and Return on Investment (ROI) for Automated GUI Testing (AGT). The method utilizes the existing source code change history and has the potential to be used for the evaluation of other testing or quality assurance automation technologies. We evaluate the method for a real-world, industrial software system and compare two fundamentally different AGT frameworks, namely Selenium and EyeAutomate, to estimate and compare their ROI. We also report on their defect-finding capabilities and usability. The quantitative data is complemented by interviews with employees at the company the study has been conducted at. The method was successfully applied, and estimated maintenance cost and ROI for both frameworks are reported. Overall, the study supports earlier results showing that implementation time is the leading cost for introducing AGT. The findings further suggest that, while EyeAutomate tests are significantly faster to implement, Selenium tests require more of a programming background but less maintenance. © 2019 IEEE.;Dobslaw F., Feldt R., Michaelsson D., Haar P., De Oliveira Neto F.G., Torkar R.;2019;Proceedings - International Symposium on Software Reliability Engineering, ISSRE;2019-October;;8987515;271;282;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081104829&doi=10.1109%2fISSRE.2019.00035&partnerID=40&md5=d49792599106085d24d11620aa7db97a;"EyeAutomate; Graphical User Interface; Selenium; Test Automation; Visual GUI Testing";"Automation; Codes (symbols); Cost effectiveness; Cost estimating; Graphical user interfaces; Maintenance; Profitability; Quality control; Selenium; Testing; EyeAutomate; Graphical user interfaces (GUI); Industrial software; Quality assurance automation; Source code changes; Test Automation; Test automation frameworks; Visual gui testing; Software reliability";IEEE Computer Society
Software transparency acceptance criteria mapping for automated tests [Mapeamento de Critérios de Aceitação de Transparência de Software para Testes Automatizados];Quality requirements include software transparency, which defines how information should be presented and how the software should run and be developed. In order to ensure compliance with these requirements in the Brazilian Public Sector, the Law on Access to Information (LAI) was proposed, which establishes rules for the disclosure of information, demonstrating the need for transparency of processes and information in public organizations. In this context, we propose the creation of abstract acceptance test case templates in order to evaluate the fulfillment of requirements on public organizations' websites. To validate the work, automated tests were developed using Cucumber and Selenium tools. These tests were defined from the abstract templates and addressed sites that meet and do not meet the requirements being tested. The results show that the proposed templates can serve as acceptance tests to be used during the design of government websites. © CIbSE 2020.;Gonçalves B.L., Dos Santos E.C., Vilain P.;2020;23rd Iberoamerican Conference on Software Engineering, CIbSE 2020;;;;;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096508674&partnerID=40&md5=5d5ca596720f2f99ea8e44c2bc615dcd;"Acceptance Tests; Non-Functional Requirements; Software Transparency; Test Case Templates";"Software design; Software testing; Websites; Acceptance criteria; Automated test; Government websites; Public organizations; Public sector; Quality requirements; Acceptance tests";CIbSE - IberoAmerican Conference on Software Engineering Steering Committee
Codeless web testing using selenium and machine learning;Complexity of web systems lead to development processes always more tough to test. Testing phases are crucial in software and system engineering and are known to be very costly. While automated testing methods appear to take over the role of the human testers, the issues of reliability and the capability of the testing method still need to be solved. In our paper, we focus on the automation of functional tests of websites. A single web page may contain a huge set of important functionalities leading to the execution of critical web service operations. Besides, testing all of these functionalities implemented in a web page service is highly complex. Two current popular research areas for automation web-based testing are Codeless Functional Test Automation and Machine Learning/Artificial Intelligence (ML/AI) in test automation. We therefore define and implement a framework to figure out how to automate the web service product under test, the machine can detect or predict the change and adapt those changes to suitable generic test cases. In our work, we examine on Selenium and the benefits of using machine learning in automated web application testing. Copyright © 2020 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.;Nguyen D.P., Maag S.;2020;ICSOFT 2020 - Proceedings of the 15th International Conference on Software Technologies;;;;51;60;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091763126&partnerID=40&md5=c52b0f4e9c18c79c50e8d8b187168d25;"Automation testing; Codeless testing; Machine learning; Selenium; SVM; Web testing";"Automation; Cost engineering; Machine learning; Selenium; Testing; Web services; Websites; Automated testing; Development process; Functional test; Service products; Test Automation; Web application testing; Web service operations; Web-based testing; Software testing";SciTePress
Artificial intelligence in automated system for web-interfaces visual testing;In this paper, the authors consider an artificial intelligence technique of providing visual testing, and also the developed system that is integrated into functional automated test suites. Thus carried out monitoring and analyzing of visual changes in the graphical interface of the application under test. A proposed tool is supposed to resolve the existing problems of the traditional snapshot visual testing. Graphical user interface (GUI) testing is a very important testing step for quality control of software applications. The GUI is the central node in the test application, from where all functions are accessed. Thus, it is difficult to thoroughly test programs through their graphical interface, especially because they are designed to work with humans, not machines. In addition, they are inherently non-static interfaces, prone to constant changes caused by functionality upgrades, improved usability, changing requirements or changed contexts. This complicates the development and maintenance of test cases without resorting to time-consuming and costly manual testing. A proposed automated system for web-interfaces visual testing uses computer vision technology as an artificial intelligence technique for visual comparison. A comparative analysis is carried out with the developed interface for testing (in particular, a web page) and the expected mockup with the location of visual elements on the page for example, an interface from the customer). When designing an automated system for web-interfaces visual testing, the programming languages Python, JavaScript, library TensorFlow, testing framework Cypress, and database MySQL were used. © 2020 for this paper by its authors.;Ivanova K., Kondratenko G., Sidenko I., Kondratenko Y.;2020;CEUR Workshop Proceedings;2604;;;1019;1031;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085180679&partnerID=40&md5=97c800d6b45ff1b2639a569fed522d26;"AI algorithms; Artificial intelligence; Automated testing; Computer vision; Digital image; Graphical interface; Pixel comparator; Snapshot; Visual element; Visual testing";"Application programs; Automation; Computational linguistics; Computer testing; Graphical user interfaces; Intelligent systems; Quality control; Software testing; Websites; Application under tests; Artificial intelligence techniques; Comparative analysis; Computer vision technology; Graphical interface; Graphical user interfaces (GUI); Software applications; Visual comparison; Visual languages";CEUR-WS
